attempt_id,phoneme,class_label,timestamp,frame_index,lip_gap_norm,mouth_height_norm,round_ratio,lip_gap_prev_norm,lip_gap_delta_norm,mouth_height_delta_norm,lip_gap_norm_rollmean5,lip_gap_norm_rollstd5,lip_gap_norm_delta,mouth_height_norm_rollmean5,mouth_height_norm_rollstd5,mouth_height_norm_delta,round_ratio_rollmean5,round_ratio_rollstd5,round_ratio_delta
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450284.679018,0,0.03295450176616038,0.3713346633020371,2.6929885594510674,0.03295450176616038,0.0,0.0,0.03295450176616038,0.0,0.0,0.3713346633020371,0.0,0.0,2.6929885594510674,0.0,0.0
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450284.72037,1,0.0319030788989513,0.3699042026792568,2.7034026452170323,0.03295450176616038,-0.0010514228672090856,-0.0014304606227803496,0.03242879033255584,0.0007434682392981497,-0.0010514228672090856,0.3706194329906469,0.0010114884065882976,-0.0014304606227803496,2.69819560233405,0.007363870664972096,0.01041408576596492
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450284.763408,2,0.03248780479521241,0.3708588708736546,2.696443522152348,0.0319030788989513,0.0005847258962611152,0.000954668194397823,0.03244846182010803,0.0005268144015591195,0.0005847258962611152,0.3706992456183162,0.0007284672710133708,0.000954668194397823,2.6976115756068157,0.0053043903739816356,-0.0069591230646843805
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450284.8040938,3,0.032696025578324156,0.3740520192474847,2.673424947716612,0.03248780479521241,0.00020822078311174413,0.0031931483738301125,0.03251035275966206,0.0004475982901988325,0.00020822078311174413,0.3715374390256083,0.0017787774252944612,0.0031931483738301125,2.691564918634265,0.012845464063286545,-0.02301857443573585
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450284.8461928,4,0.03236688646689666,0.369838020389205,2.7038864174852386,0.032696025578324156,-0.0003291391114274983,-0.004213998858279722,0.032481659501108984,0.00039290544342584333,-0.0003291391114274983,0.37119755529832765,0.0017177431667463679,-0.004213998858279722,2.69402921840446,0.012414440262766582,0.030461469768626515
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450284.8881369,5,0.03202158609311304,0.3690187115058596,2.7098896853205265,0.03236688646689666,-0.00034530037378361494,-0.0008193088833454154,0.03229507636649952,0.00032845096758010283,-0.00034530037378361494,0.3707343649390921,0.001965858684549,-0.0008193088833454154,2.6974094435783513,0.014228625520043392,0.006003267835287929
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450284.929994,6,0.03180075243713602,0.36693084965684497,2.7253091445846094,0.03202158609311304,-0.00022083365597701937,-0.002087861849014605,0.032274611074136456,0.000360596777591274,-0.00022083365597701937,0.3701396943346098,0.0026204863554272753,-0.002087861849014605,2.701790743451867,0.019080821812797397,0.015419459264082835
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450284.970042,7,0.032203372330820906,0.3657819053495388,2.7338695145250735,0.03180075243713602,0.00040261989368488293,-0.0011489443073061656,0.032217724581258156,0.00034042736909649607,0.00040261989368488293,0.36912430122978657,0.003193187635944792,-0.0011489443073061656,2.709275941926412,0.023327156069329603,0.008560369940464163
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450285.0142941,8,0.03166569603611527,0.36584781582025044,2.733376985613393,0.032203372330820906,-0.0005376762947056357,6.591047071163869e-05,0.03201165867281638,0.0002860118232995039,-0.0005376762947056357,0.3674834605443397,0.0018558657087239983,6.591047071163869e-05,2.7212663495057683,0.01372353810526617,-0.000492528911680612
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450285.054799,9,0.033477967552725585,0.3722841055942314,2.686120586329687,0.03166569603611527,0.0018122715166103143,0.006436289773980974,0.03223387488998216,0.0007252905903885174,0.0018122715166103143,0.367972677585345,0.0027423769061353655,0.006436289773980974,2.717713183274658,0.020145593025325606,-0.04725639928370606
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450285.0963469,10,0.06706009258015612,0.44604480766938226,2.2419272297441943,0.033477967552725585,0.033582125027430534,0.07376070207515084,0.039241576187390784,0.015567475473431947,0.033582125027430534,0.38337789681804957,0.035134178285676235,0.07376070207515084,2.6241206921593916,0.21455574693084728,-0.4441933565854925
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450285.139045,11,0.12747430570817228,0.5376402621095092,1.8599797494264205,0.06706009258015612,0.06041421312801616,0.09159545444012696,0.058376286841598034,0.041437748828717424,0.06041421312801616,0.41751977930858236,0.07522578218311328,0.09159545444012696,2.4510548131277536,0.3898877912925296,-0.3819474803177738
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450285.1803021,12,0.1594882053828024,0.5738261871615415,1.7426879817851244,0.12747430570817228,0.032013899674630114,0.03618592505203233,0.08383325345199433,0.05737303587933975,0.032013899674630114,0.459128635670983,0.09451729222132337,0.03618592505203233,2.2528185065797635,0.4564430976164676,-0.11729176764129612
008fa540-e34c-43a8-836d-c24f1819f354,A,UH,1761450285.220027,13,0.17793737297154916,0.5901337762211943,1.6945310373578402,0.1594882053828024,0.018449167588746762,0.016307589059652794,0.11308758883908113,0.06128154606641149,0.018449167588746762,0.5039858277511717,0.09237731215964938,0.016307589059652794,2.0450493169286537,0.4178125988779454,-0.04815694442728424
