attempt_id,phoneme,class_label,timestamp,frame_index,lip_gap_norm,mouth_height_norm,round_ratio,lip_gap_prev_norm,lip_gap_delta_norm,mouth_height_delta_norm,lip_gap_norm_rollmean5,lip_gap_norm_rollstd5,lip_gap_norm_delta,mouth_height_norm_rollmean5,mouth_height_norm_rollstd5,mouth_height_norm_delta,round_ratio_rollmean5,round_ratio_rollstd5,round_ratio_delta
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.269537,0,0.024366680438248134,0.3294485220243123,3.0353755841897603,0.024366680438248134,0.0,0.0,0.024366680438248134,0.0,0.0,0.3294485220243123,0.0,0.0,3.0353755841897603,0.0,0.0
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.309346,1,0.026217585559071707,0.3322799865636348,3.009510173458763,0.024366680438248134,0.0018509051208235733,0.0028314645393224813,0.02529213299865992,0.0013087875622672547,0.0018509051208235733,0.33086425429397354,0.0020021477764441704,0.0028314645393224813,3.0224428788242617,0.018289607326063443,-0.02586541073099724
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.353458,2,0.025803509497850527,0.3322516920858539,3.0097664626538596,0.026217585559071707,-0.00041407606122118024,-2.82944777808547e-05,0.025462591831723457,0.0009714067545991628,-0.00041407606122118024,0.3313267335579337,0.0016266404237382833,-2.82944777808547e-05,3.018217406767461,0.014859970066564972,0.00025628919509657067
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.392561,3,0.025345669764885663,0.3300637693065393,3.029717566702307,0.025803509497850527,-0.00045783973296486397,-0.0021879227793146216,0.02543336131501401,0.0007953018804301027,-0.00045783973296486397,0.3310109924950851,0.001470626528785612,-0.0021879227793146216,3.0210924467511724,0.01342668586129497,0.019951104048447466
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.436552,4,0.01770099831891883,0.3141557803834985,3.183134172413676,0.025345669764885663,-0.007644671445966832,-0.015907988923040794,0.023886888715794974,0.003525941904149605,-0.007644671445966832,0.32763995007276775,0.007644716597473769,-0.015907988923040794,3.0535007918836734,0.07339421701367115,0.15341660571136906
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.4802098,5,0.019580554504651897,0.3240320413460595,3.0861145578255353,0.01770099831891883,0.0018795561857330653,0.009876260962561001,0.022929663529075724,0.0039831513653271694,0.0018795561857330653,0.3265566539371172,0.007707872399558945,0.009876260962561001,3.0636485866108285,0.07376837101705606,-0.09701961458814079
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.521275,6,0.02280484218950875,0.342050964335486,2.923540946428068,0.019580554504651897,0.0032242876848568545,0.018018922989426478,0.022247114855163133,0.003547455596149514,0.0032242876848568545,0.3285108494914874,0.010318283587341047,0.018018922989426478,3.0464547412046894,0.09616149399544913,-0.1625736113974674
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.564477,7,0.015595983690495419,0.33279740918830747,3.004831084589868,0.02280484218950875,-0.007208858499013333,-0.009253555147178516,0.02020560969369211,0.003907961460919378,-0.007208858499013333,0.32861999291197813,0.010370499434002197,-0.009253555147178516,3.045467665591891,0.09665629716343574,0.08129013816179986
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.6032882,8,0.009107847299839242,0.31956584760239404,3.1292455295291965,0.015595983690495419,-0.006488136390656176,-0.013231561585913432,0.016958045200682826,0.005125802084888471,-0.006488136390656176,0.3265204085711491,0.011045822955204143,-0.013231561585913432,3.065373258157269,0.10266360226409063,0.12441444493932874
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.643036,9,0.004696348519864827,0.3042802352437224,3.28644415303222,0.009107847299839242,-0.004411498779974416,-0.015285612358671652,0.014357115240872026,0.007434185075229624,-0.004411498779974416,0.3245452995431939,0.01423268087962039,-0.015285612358671652,3.0860352542809775,0.13695745519556773,0.1571986235030236
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.68431,10,0.004157871120870384,0.296393962028885,3.3738878928395484,0.004696348519864827,-0.0005384773989944433,-0.00788627321483737,0.011272578564115725,0.007909438369075022,-0.0005384773989944433,0.31901768367975897,0.01903771588376327,-0.00788627321483737,3.14358992128378,0.18796662928672042,0.08744373980732822
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.7241058,11,0.0008924515372082665,0.28329795365355154,3.529852535478996,0.004157871120870384,-0.003265419583662117,-0.013096008375333479,0.006890100433655627,0.0056780326964132365,-0.003265419583662117,0.3072670815433721,0.019395375394826244,-0.013096008375333479,3.2648522390939663,0.20529267040497665,0.15596464263944743
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.7668781,12,0.0013524080239584481,0.2722169211205093,3.673540924215009,0.0008924515372082665,0.0004599564867501816,-0.011081032533042212,0.004041385300348234,0.0032885394020435842,0.0004599564867501816,0.2951509839298125,0.018353741825095627,-0.011081032533042212,3.398594207018994,0.21128250798519277,0.1436883887360132
001dc844-1d65-461c-9b94-7bbef557264c,P,GOOD,1761449446.811043,13,0.0017600470096178582,0.26747455027485584,3.7386734512588347,0.0013524080239584481,0.0004076389856594101,-0.004742370845653487,0.0025718252423039567,0.001731718725619393,0.0004076389856594101,0.2847327244643048,0.01560959733771446,-0.004742370845653487,3.5204797913649215,0.19195435438050698,0.06513252704382566
