attempt_id,phoneme,class_label,timestamp,frame_index,lip_gap_norm,mouth_height_norm,round_ratio,lip_gap_prev_norm,lip_gap_delta_norm,mouth_height_delta_norm
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.194919,0,0.03742033390421502,0.3130570547126949,3.19430590988515,0.03742033390421502,0.0,0.0
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.2214499,1,0.03295261731652979,0.30864204291464475,3.2399992902993806,0.03742033390421502,-0.00446771658768523,-0.00441501179805015
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.261188,2,0.032076735371230736,0.31092766148369816,3.2161821667077044,0.03295261731652979,-0.0008758819452990563,0.0022856185690534048
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.3008971,3,0.03291898785605417,0.3065136888937678,3.262497031075771,0.032076735371230736,0.0008422524848234331,-0.0044139725899303706
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.342474,4,0.030075298628073295,0.3046895562518747,3.282029132542173,0.03291898785605417,-0.0028436892279808737,-0.0018241326418930726
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.383709,5,0.030747546106497707,0.31579884000624575,3.1665727460563895,0.030075298628073295,0.000672247478424412,0.011109283754371035
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.426206,6,0.03185807522693549,0.33115793773892416,3.0197071730419234,0.030747546106497707,0.0011105291204377837,0.015359097732678406
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.47289,7,0.03518283465292372,0.3477192070364845,2.875883700882462,0.03185807522693549,0.0033247594259882274,0.016561269297560355
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.5139198,8,0.053992774259200495,0.3806176892813716,2.627308262755886,0.03518283465292372,0.018809939606276777,0.03289848224488706
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.5558639,9,0.19354493838464576,0.48538460318194615,2.060221921841947,0.053992774259200495,0.13955216412544527,0.10476691390057458
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.5981011,10,0.3150693960731154,0.5909334718834351,1.6922378703862886,0.19354493838464576,0.12152445768846964,0.105548868701489
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.639779,11,0.37354267351823617,0.646481789500073,1.5468339808508824,0.3150693960731154,0.058473277445120764,0.05554831761663781
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.685225,12,0.4016475161170133,0.663316482385247,1.5075759860573024,0.37354267351823617,0.028104842598777158,0.01683469288517403
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.7323651,13,0.40567923066079964,0.6700833088978763,1.4923517519705964,0.4016475161170133,0.004031714543786313,0.006766826512629276
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.776736,14,0.3979688800088526,0.664505305592194,1.504878879949378,0.40567923066079964,-0.007710350651947029,-0.005578003305682255
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.818608,15,0.3971149216436699,0.6625888526230848,1.509231548404652,0.3979688800088526,-0.0008539583651827054,-0.0019164529691092502
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.8604379,16,0.3887319842375572,0.6584238697605613,1.518778473756813,0.3971149216436699,-0.008382937406112678,-0.004164982862523425
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.901792,17,0.37536401692538435,0.6463189096780381,1.5472238008603945,0.3887319842375572,-0.01336796731217288,-0.012104960082523264
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.93671,18,0.35796814932709853,0.6284982150398362,1.5910944153383424,0.37536401692538435,-0.01739586759828582,-0.017820694638201906
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437980.972221,19,0.3449451778723973,0.6132395535586942,1.630684117156002,0.35796814932709853,-0.013022971454701215,-0.015258661481141966
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437981.014049,20,0.3335286252206329,0.6014512326497953,1.6626451916879954,0.3449451778723973,-0.011416552651764389,-0.01178832090889892
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437981.055629,21,0.32645364199966675,0.5977585318908891,1.6729163142794479,0.3335286252206329,-0.007074983220966169,-0.0036927007589061533
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437981.098153,22,0.31032498786357376,0.5843406591413091,1.7113305130426897,0.32645364199966675,-0.01612865413609299,-0.013417872749580062
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437981.1394691,23,0.2930979452180862,0.5668349291814078,1.7641820369894032,0.31032498786357376,-0.017227042645487578,-0.017505729959901295
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437981.181291,24,0.26409090960406906,0.5395211376949531,1.8534954983828695,0.2930979452180862,-0.02900703561401713,-0.02731379148645463
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437981.222655,25,0.24846709609148707,0.5277985703143484,1.894662199263662,0.26409090960406906,-0.015623813512581991,-0.011722567380604731
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437981.265379,26,0.22322311589222055,0.5001482706588423,1.9994070931859989,0.24846709609148707,-0.02524398019926652,-0.02765029965550614
20c2f057-179a-4953-bf67-f28fa725d620,A,GOOD,1761437981.306666,27,0.16650244397994476,0.44373741234169073,2.2535850532025252,0.22322311589222055,-0.05672067191227578,-0.056410858317151535
